title,price,rating,reviews,availability
"61 keys keyboard piano, Electronic Digital Piano with Built-In Speaker Microphone, Sheet Stand and Power Supply, Portable piano Keyboard Gift Teaching for Beginners",,3.4 out of 5 stars,8 ratings,100+ bought in past month
"Amazon Basics Portable Digital Piano Keyboard with 61 Keys, Built In Speakers and Songs for Learning, Black",$131.99,4.2 out of 5 stars,21 ratings,100+ bought in past month
"[2023 Upgraded] Full Size Digital Piano Keyboard, 88 Key Folding Piano with Bluetooth MIDI, Semi-Weighted Portable Piano Keyboards, Wood Grained Electric Piano for Beginners, Kids, Adults By COSSAIN",$219.99,4.1 out of 5 stars,37 ratings,Not Available
"Donner DDP-100S Digital Piano 88 Key Weighted Graded Hammer-Action Piano Keyboard with MIDI IN/OUT, 200 Sounds, 200 Rhythms, 100 Demo, Home Electric Piano Bundle with Bench for Beginner Professional",,4.6 out of 5 stars,"1,313 ratings",50+ bought in past month
"Fesley 88 Key Weighted Digital Piano Keyboard, Full-Size Electric Keyboard Piano, Electric Piano Keyboard 88 Keys, 88 Key Keyboard with Triple Pedal, Headphone, 2x20W Speakers, Recording",$329.99,5.0 out of 5 stars,6 ratings,Not Available
Roland JUNO-DS 61-Key Lightweight Synth-Action Keyboard with Pro Sounds,$799.99,4.6 out of 5 stars,371 ratings,Not Available
"PopuPiano Smart Piano Keyboard with Rainbow Lighting, Interactive App Lessons for Beginners, 256 Tones, 100+ Chords Polyphony, MIDI Controller, AIGC Composition, Portable Expandable Keyboard Piano",$299.99,4.3 out of 5 stars,23 ratings,Not Available
"PopuPiano Smart Piano Keyboard with Rainbow Lighting, Interactive App Lessons for Beginners, 256 Tones, 100+ Chords Polyphony, MIDI Controller, AIGC Composition, Portable Expandable Keyboard Piano",$299.99,4.3 out of 5 stars,23 ratings,Not Available
"Fesley 88 Key Keyboard Piano with Semi-Weighted Keys, Full-Size Digital Piano Keyboard for Beginner, Piano Keyboard 88 Keys with Music Stand, Power Adapter, Sustain Pedal, Bluetooth, MIDI, Brown",$179.99,4.0 out of 5 stars,11 ratings,Not Available
ROLAND FP-60X Digital Pianos-Home (FP-60X-WH),$999.99 with 20 percent savings,4.3 out of 5 stars,13 ratings,Not Available
"The ONE Smart Keyboard COLOR 61 Lighted Keys Piano Keyboard, MIDI Electric Piano for Beginners with 256 Tones, 64 Polyphony, Built-in LED Lights and Free Apps (Green)",$179.99 with 10 percent savings,4.5 out of 5 stars,156 ratings,100+ bought in past month
